,time,theta,x_pivot,time_seconds,theta_scaled,theta_filtered
0,908,-1040,0,0.908,-1.56,-1.568834355
1,938,-1038,0,0.938,-1.557,-1.405159821
2,967,-793,0,0.967,-1.1895,-1.315391928
3,997,-657,0,0.997,-0.9855,-0.924154176
4,1027,-256,0,1.027,-0.384,-0.371135999
5,1054,68,0,1.054,0.102,-0.0061023
6,1081,-5,0,1.081,-0.0075,0.164391506
7,1108,364,0,1.108,0.546,0.386820234
8,1135,449,0,1.135,0.6735,0.765323923
9,1162,792,0,1.162,1.188,1.177282899
10,1190,1016,0,1.19,1.524,1.4639871
11,1218,981,0,1.218,1.4715,1.580996167
12,1247,1157,0,1.247,1.7355,1.597821166
13,1276,968,0,1.276,1.452,1.594303101
14,1305,1131,0,1.305,1.6965,1.585116796
15,1333,1012,0,1.333,1.518,1.567297888
16,1363,1044,0,1.363,1.566,1.57188525
17,1392,1081,0,1.392,1.6215,1.604148175
18,1421,1084,0,1.421,1.626,1.619605892
19,1450,1056,0,1.45,1.584,1.609679003
20,1480,1088,0,1.48,1.632,1.608981897
21,1510,1062,0,1.51,1.593,1.611794885
22,1539,1069,0,1.539,1.6035,1.570153589
23,1569,924,0,1.569,1.386,1.435088094
24,1599,809,0,1.599,1.2135,1.190996615
25,1629,660,0,1.629,0.99,0.947959925
26,1659,544,0,1.659,0.816,0.858917907
27,1689,456,0,1.689,0.684,0.788643249
28,1718,471,0,1.718,0.7065,0.408280626
29,1747,-377,0,1.747,-0.5655,-0.231848456
30,1777,-371,0,1.777,-0.5565,-0.738820265
31,1806,-680,0,1.806,-1.02,-0.992507232
32,1836,-767,0,1.836,-1.1505,-1.157355459
33,1865,-895,0,1.865,-1.3425,-1.281317901
34,1895,-859,0,1.895,-1.2885,-1.353192995
35,1924,-965,0,1.924,-1.4475,-1.445202625
36,1954,-1061,0,1.954,-1.5915,-1.554684499
37,1983,-1074,0,1.983,-1.611,-1.610050823
38,2012,-1046,0,2.012,-1.569,-1.634857491
39,2041,-1168,0,2.041,-1.752,-1.667752682
40,2071,-1076,0,2.071,-1.614,-1.666249272
41,2101,-1104,0,2.101,-1.656,-1.639351844
42,2131,-1121,0,2.131,-1.6815,-1.684897188
43,2161,-1201,0,2.161,-1.8015,-1.787751539
44,2190,-1126,0,2.19,-1.689,-1.732807048
45,2220,-966,0,2.22,-1.449,-1.395699207
46,2249,-700,0,2.249,-1.05,-1.061419637
47,2279,-731,0,2.279,-1.0965,-1.06599047
48,2309,-568,0,2.309,-0.852,-1.104702803
49,2339,-772,0,2.339,-1.158,-0.643105686
50,2369,301,0,2.369,0.4515,0.013822808
51,2399,144,0,2.399,0.216,0.214365185
52,2430,-74,0,2.43,-0.111,0.231201818
53,2460,616,0,2.46,0.924,0.652847156
54,2489,772,0,2.489,1.158,1.182470447
55,2517,853,0,2.517,1.2795,1.319337295
56,2545,812,0,2.545,1.218,1.281972375
57,2574,994,0,2.574,1.491,1.39000065
58,2603,999,0,2.603,1.4985,1.508307649
59,2630,957,0,2.63,1.4355,1.512497797
60,2659,1065,0,2.659,1.5975,1.524560981
61,2688,1045,0,2.688,1.5675,1.589351046
62,2717,1069,0,2.717,1.6035,1.614309069
63,2746,1065,0,2.746,1.5975,1.587360132
64,2775,1064,0,2.775,1.596,1.581173457
65,2804,1023,0,2.804,1.5345,1.57940538
